character,skillType,skillTitle,enhancement,valueText,valuePercent
维里奈,常态攻击,育苗,治疗效果加成提升,治疗效果加成提升4.20%,4.2
维里奈,共鸣技能,扩繁试验,攻击提升,攻击提升1.80%,1.8
维里奈,共鸣技能,扩繁试验,攻击提升,攻击提升4.20%,4.2
维里奈,共鸣解放,草木生长,攻击提升,攻击提升1.80%,1.8
维里奈,共鸣解放,草木生长,攻击提升,攻击提升4.20%,4.2
维里奈,变奏技能,蔓延,治疗效果加成提升,治疗效果加成提升1.80%,1.8
维里奈,变奏技能,蔓延,治疗效果加成提升,治疗效果加成提升4.20%,4.2
凌阳,常态攻击,常态·凛凛威风拳,冷凝伤害加成提升,冷凝伤害加成提升1.80%,1.8
凌阳,常态攻击,常态·凛凛威风拳,冷凝伤害加成提升,冷凝伤害加成提升4.20%,4.2
凌阳,共鸣技能,冲掌·势式相承,攻击提升,攻击提升1.80%,1.8
凌阳,共鸣技能,冲掌·势式相承,攻击提升,攻击提升4.20%,4.2
凌阳,共鸣解放,奋进·狮子奋迅，俱足万行,攻击提升,攻击提升1.80%,1.8
凌阳,共鸣解放,奋进·狮子奋迅，俱足万行,攻击提升,攻击提升4.20%,4.2
凌阳,变奏技能,出洞·睡狮蛰醒,冷凝伤害加成提升,冷凝伤害加成提升1.80%,1.8
凌阳,变奏技能,出洞·睡狮蛰醒,冷凝伤害加成提升,冷凝伤害加成提升4.20%,4.2
漂泊者-男-衍射,常态攻击,化声为形,衍射伤害加成提升,衍射伤害加成提升1.80%,1.8
漂泊者-男-衍射,常态攻击,化声为形,衍射伤害加成提升,衍射伤害加成提升4.20%,4.2
漂泊者-男-衍射,共鸣技能,浮声千斩,攻击提升,攻击提升1.80%,1.8
漂泊者-男-衍射,共鸣技能,浮声千斩,攻击提升,攻击提升4.20%,4.2
漂泊者-男-衍射,共鸣解放,回响奏鸣,攻击提升,攻击提升1.80%,1.8
漂泊者-男-衍射,共鸣解放,回响奏鸣,攻击提升,攻击提升4.20%,4.2
漂泊者-男-衍射,变奏技能,震声,衍射伤害加成提升,衍射伤害加成提升1.80%,1.8
漂泊者-男-衍射,变奏技能,震声,衍射伤害加成提升,衍射伤害加成提升4.20%,4.2
漂泊者-女-衍射,常态攻击,化声为形,衍射伤害加成提升,衍射伤害加成提升1.80%,1.8
漂泊者-女-衍射,常态攻击,化声为形,衍射伤害加成提升,衍射伤害加成提升4.20%,4.2
漂泊者-女-衍射,共鸣技能,浮声千斩,攻击提升,攻击提升1.80%,1.8
漂泊者-女-衍射,共鸣技能,浮声千斩,攻击提升,攻击提升4.20%,4.2
漂泊者-女-衍射,共鸣解放,回响奏鸣,攻击提升,攻击提升1.80%,1.8
漂泊者-女-衍射,共鸣解放,回响奏鸣,攻击提升,攻击提升4.20%,4.2
漂泊者-女-衍射,变奏技能,震声,衍射伤害加成提升,衍射伤害加成提升1.80%,1.8
漂泊者-女-衍射,变奏技能,震声,衍射伤害加成提升,衍射伤害加成提升4.20%,4.2
漂泊者-男-湮灭,常态攻击,裁羽弑音,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
漂泊者-男-湮灭,常态攻击,裁羽弑音,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
漂泊者-男-湮灭,共鸣技能,行刃,攻击提升,攻击提升1.80%,1.8
漂泊者-男-湮灭,共鸣技能,行刃,攻击提升,攻击提升4.20%,4.2
漂泊者-男-湮灭,共鸣解放,临渊死寂,攻击提升,攻击提升1.80%,1.8
漂泊者-男-湮灭,共鸣解放,临渊死寂,攻击提升,攻击提升4.20%,4.2
漂泊者-男-湮灭,变奏技能,化刹,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
漂泊者-男-湮灭,变奏技能,化刹,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
漂泊者-女-湮灭,常态攻击,裁羽弑音,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
漂泊者-女-湮灭,常态攻击,裁羽弑音,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
漂泊者-女-湮灭,共鸣技能,行刃,攻击提升,攻击提升1.80%,1.8
漂泊者-女-湮灭,共鸣技能,行刃,攻击提升,攻击提升4.20%,4.2
漂泊者-女-湮灭,共鸣解放,临渊死寂,攻击提升,攻击提升1.80%,1.8
漂泊者-女-湮灭,共鸣解放,临渊死寂,攻击提升,攻击提升4.20%,4.2
漂泊者-女-湮灭,变奏技能,化刹,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
漂泊者-女-湮灭,变奏技能,化刹,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
卜灵,常态攻击,卦起雷动,治疗效果加成提升,治疗效果加成提升1.80%,1.8
卜灵,常态攻击,卦起雷动,治疗效果加成提升,治疗效果加成提升4.20%,4.2
卜灵,共鸣技能,遁影牵雷,攻击提升,攻击提升1.80%,1.8
卜灵,共鸣技能,遁影牵雷,攻击提升,攻击提升4.20%,4.2
卜灵,共鸣解放,飞雷诀,攻击提升,攻击提升1.80%,1.8
卜灵,共鸣解放,飞雷诀,攻击提升,攻击提升4.20%,4.2
卜灵,变奏技能,召劾鬼神,治疗效果加成提升,治疗效果加成提升1.80%,1.8
卜灵,变奏技能,召劾鬼神,治疗效果加成提升,治疗效果加成提升4.20%,4.2
灯灯,常态攻击,常态攻击: 前路领航,暴击提升,暴击提升1.20%,1.2
灯灯,常态攻击,常态攻击: 前路领航,暴击提升,暴击提升2.80%,2.8
灯灯,共鸣技能,共鸣技能: 灯光探照,攻击提升,攻击提升1.80%,1.8
灯灯,共鸣技能,共鸣技能: 灯光探照,攻击提升,攻击提升4.20%,4.2
灯灯,共鸣解放,共鸣解放: 啾啾专送,攻击提升,攻击提升1.80%,1.8
灯灯,共鸣解放,共鸣解放: 啾啾专送,攻击提升,攻击提升4.20%,4.2
灯灯,变奏技能,变奏技能: 专项派送,暴击提升,暴击提升1.20%,1.2
灯灯,变奏技能,变奏技能: 专项派送,暴击提升,暴击提升2.80%,2.8
秧秧,常态攻击,风羽为刃,气动伤害加成提升,气动伤害加成提升1.80%,1.8
秧秧,常态攻击,风羽为刃,气动伤害加成提升,气动伤害加成提升4.20%,4.2
秧秧,共鸣技能,流风载域,攻击提升,攻击提升1.80%,1.8
秧秧,共鸣技能,流风载域,攻击提升,攻击提升4.20%,4.2
秧秧,共鸣解放,朔风旋涌,攻击提升,攻击提升1.80%,1.8
秧秧,共鸣解放,朔风旋涌,攻击提升,攻击提升4.20%,4.2
秧秧,变奏技能,湛蓝礼赞,气动伤害加成提升,气动伤害加成提升1.80%,1.8
秧秧,变奏技能,湛蓝礼赞,气动伤害加成提升,气动伤害加成提升4.20%,4.2
釉瑚,常态攻击,霜坠,暴击提升,暴击提升1.20%,1.2
釉瑚,常态攻击,霜坠,暴击提升,暴击提升2.80%,2.8
釉瑚,共鸣技能,匣中问祯,攻击提升,攻击提升1.80%,1.8
釉瑚,共鸣技能,匣中问祯,攻击提升,攻击提升4.20%,4.2
釉瑚,共鸣解放,如意卜,攻击提升,攻击提升1.80%,1.8
釉瑚,共鸣解放,如意卜,攻击提升,攻击提升4.20%,4.2
釉瑚,变奏技能,遂心匣,暴击提升,暴击提升1.20%,1.2
釉瑚,变奏技能,遂心匣,暴击提升,暴击提升2.80%,2.8
白芷,常态攻击,应许,治疗效果加成提升,治疗效果加成提升1.80%,1.8
白芷,常态攻击,应许,治疗效果加成提升,治疗效果加成提升4.20%,4.2
白芷,共鸣技能,应急预案,生命提升,生命提升1.80%,1.8
白芷,共鸣技能,应急预案,生命提升,生命提升4.20%,4.2
白芷,共鸣解放,刹那合弥,生命提升,生命提升1.80%,1.8
白芷,共鸣解放,刹那合弥,生命提升,生命提升4.20%,4.2
白芷,变奏技能,覆雪流盈,治疗效果加成提升,治疗效果加成提升1.80%,1.8
白芷,变奏技能,覆雪流盈,治疗效果加成提升,治疗效果加成提升4.20%,4.2
炽霞,常态攻击,砰砰,热熔伤害提升,热熔伤害提升1.80%,1.8
炽霞,常态攻击,砰砰,热熔伤害提升,热熔伤害提升4.20%,4.2
炽霞,共鸣技能,咻咻斗意,攻击提升,攻击提升1.80%,1.8
炽霞,共鸣技能,咻咻斗意,攻击提升,攻击提升4.20%,4.2
炽霞,共鸣解放,炽烈焰火,攻击提升,攻击提升1.80%,1.8
炽霞,共鸣解放,炽烈焰火,攻击提升,攻击提升4.20%,4.2
炽霞,变奏技能,堂堂登场,热熔伤害提升,热熔伤害提升1.80%,1.8
炽霞,变奏技能,堂堂登场,热熔伤害提升,热熔伤害提升4.20%,4.2
散华,常态攻击,寒光,冷凝伤害加成提升,冷凝伤害加成提升1.80%,1.8
散华,常态攻击,寒光,冷凝伤害加成提升,冷凝伤害加成提升4.20%,4.2
散华,共鸣技能,朔雪永冻,攻击提升,攻击提升1.80%,1.8
散华,共鸣技能,朔雪永冻,攻击提升,攻击提升4.20%,4.2
散华,共鸣解放,焦瞑冻土,攻击提升,攻击提升1.80%,1.8
散华,共鸣解放,焦瞑冻土,攻击提升,攻击提升4.20%,4.2
散华,变奏技能,凛刺,冷凝伤害加成提升,冷凝伤害加成提升1.80%,1.8
散华,变奏技能,凛刺,冷凝伤害加成提升,冷凝伤害加成提升4.20%,4.2
秋水,常态攻击,真假参半,气动伤害加成提升,气动伤害加成提升1.80%,1.8
秋水,常态攻击,真假参半,气动伤害加成提升,气动伤害加成提升4.20%,4.2
秋水,共鸣技能,移位戏法,攻击提升,攻击提升1.80%,1.8
秋水,共鸣技能,移位戏法,攻击提升,攻击提升4.20%,4.2
秋水,共鸣解放,雾里观花,攻击提升,攻击提升1.80%,1.8
秋水,共鸣解放,雾里观花,攻击提升,攻击提升4.20%,4.2
秋水,变奏技能,虚晃一枪,气动伤害加成提升,气动伤害加成提升1.80%,1.8
秋水,变奏技能,虚晃一枪,气动伤害加成提升,气动伤害加成提升4.20%,4.2
丹瑾,常态攻击,执刃,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
丹瑾,常态攻击,执刃,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
丹瑾,共鸣技能,朱华残章,攻击提升,攻击提升1.80%,1.8
丹瑾,共鸣技能,朱华残章,攻击提升,攻击提升4.20%,4.2
丹瑾,共鸣解放,绯红绽放,攻击提升,攻击提升1.80%,1.8
丹瑾,共鸣解放,绯红绽放,攻击提升,攻击提升4.20%,4.2
丹瑾,变奏技能,击雠,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
丹瑾,变奏技能,击雠,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
莫特斐,常态攻击,即兴发挥,热熔伤害加成提升,热熔伤害加成提升1.80%,1.8
莫特斐,常态攻击,即兴发挥,热熔伤害加成提升,热熔伤害加成提升4.20%,4.2
莫特斐,共鸣技能,激昂变奏,攻击提升,攻击提升1.80%,1.8
莫特斐,共鸣技能,激昂变奏,攻击提升,攻击提升4.20%,4.2
莫特斐,共鸣解放,暴烈终曲,攻击提升,攻击提升1.80%,1.8
莫特斐,共鸣解放,暴烈终曲,攻击提升,攻击提升4.20%,4.2
莫特斐,变奏技能,不协和音,热熔伤害加成提升,热熔伤害加成提升1.80%,1.8
莫特斐,变奏技能,不协和音,热熔伤害加成提升,热熔伤害加成提升4.20%,4.2
渊武,常态攻击,雷煌拳,导电伤害加成提升,导电伤害加成提升1.80%,1.8
渊武,常态攻击,雷煌拳,导电伤害加成提升,导电伤害加成提升4.20%,4.2
渊武,共鸣技能,拳震凌武,防御提升,防御提升2.28%,2.28
渊武,共鸣技能,拳震凌武,防御提升,防御提升5.32%,5.32
渊武,共鸣解放,寂土重明,防御提升,防御提升2.28%,2.28
渊武,共鸣解放,寂土重明,防御提升,防御提升5.32%,5.32
渊武,变奏技能,轰雷,导电伤害加成提升,导电伤害加成提升1.80%,1.8
渊武,变奏技能,轰雷,导电伤害加成提升,导电伤害加成提升4.20%,4.2
桃祈,常态攻击,重器藏锋,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
桃祈,常态攻击,重器藏锋,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
桃祈,共鸣技能,固若金汤,防御提升,防御提升2.28%,2.28
桃祈,共鸣技能,固若金汤,防御提升,防御提升5.32%,5.32
桃祈,共鸣解放,不动如山,防御提升,防御提升2.28%,2.28
桃祈,共鸣解放,不动如山,防御提升,防御提升5.32%,5.32
桃祈,变奏技能,携攻守阵,湮灭伤害加成提升,湮灭伤害加成提升1.80%,1.8
桃祈,变奏技能,携攻守阵,湮灭伤害加成提升,湮灭伤害加成提升4.20%,4.2
